epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4799,1.03364,2.58547,1.31492,0.37416,0.47023,0.37966,0.24069,1.32831,2.14408,1.34379,0.000332268,0.000332268,0.000332268
2,159.375,1.05643,1.83824,1.29886,0.42909,0.53174,0.4527,0.28151,1.37659,1.88586,1.33172,0.000659012,0.000659012,0.000659012
3,238.139,1.10106,1.64331,1.33562,0.51095,0.45137,0.45488,0.30052,1.38579,1.81822,1.37241,0.000979156,0.000979156,0.000979156
4,318.251,1.06882,1.4717,1.31381,0.52426,0.53575,0.5122,0.34825,1.33525,1.5886,1.33289,0.0009703,0.0009703,0.0009703
5,384.105,1.03306,1.32044,1.28837,0.59292,0.48748,0.55377,0.37058,1.27648,1.52678,1.29811,0.0009604,0.0009604,0.0009604
6,449.855,1.01293,1.26138,1.27535,0.66826,0.58296,0.64191,0.44455,1.23996,1.34514,1.24748,0.0009505,0.0009505,0.0009505
7,516.423,0.99125,1.17462,1.25485,0.58606,0.62189,0.62145,0.44219,1.18472,1.30445,1.24324,0.0009406,0.0009406,0.0009406
8,585.734,0.94947,1.10916,1.22613,0.62494,0.58073,0.63946,0.46165,1.16196,1.24518,1.21809,0.0009307,0.0009307,0.0009307
9,651.689,0.93867,1.06736,1.22066,0.63115,0.57152,0.64799,0.46264,1.18339,1.29493,1.21849,0.0009208,0.0009208,0.0009208
10,718.191,0.91787,1.01846,1.20234,0.65245,0.6649,0.70036,0.50212,1.13993,1.15484,1.2012,0.0009109,0.0009109,0.0009109
11,784.322,0.8963,0.98432,1.18962,0.63884,0.69024,0.70082,0.50723,1.09353,1.11785,1.16268,0.000901,0.000901,0.000901
12,849.444,0.88444,0.95937,1.182,0.64406,0.63239,0.69418,0.49393,1.11856,1.11208,1.18436,0.0008911,0.0008911,0.0008911
13,914.291,0.87703,0.94071,1.1798,0.75572,0.60001,0.72256,0.52849,1.09282,1.09335,1.16422,0.0008812,0.0008812,0.0008812
14,980.585,0.87222,0.9192,1.16779,0.70861,0.61276,0.71974,0.53508,1.05976,1.06334,1.14724,0.0008713,0.0008713,0.0008713
15,1050.26,0.86833,0.89619,1.16987,0.74203,0.6001,0.6872,0.51234,1.06295,1.10456,1.16138,0.0008614,0.0008614,0.0008614
16,1116.56,0.85641,0.88661,1.16295,0.73043,0.67757,0.76799,0.56105,1.06064,0.98693,1.14187,0.0008515,0.0008515,0.0008515
17,1181.28,0.84539,0.84349,1.15378,0.74312,0.64054,0.72316,0.53062,1.07065,1.01551,1.15083,0.0008416,0.0008416,0.0008416
18,1246.59,0.84222,0.85194,1.15411,0.72381,0.72709,0.75853,0.56451,1.03252,0.92039,1.1301,0.0008317,0.0008317,0.0008317
19,1317.64,0.82399,0.82041,1.1459,0.75249,0.71738,0.78247,0.59094,1.04733,0.90862,1.12894,0.0008218,0.0008218,0.0008218
20,1385.17,0.81473,0.79993,1.13382,0.75436,0.6467,0.74749,0.55944,1.0286,0.96713,1.12351,0.0008119,0.0008119,0.0008119
21,1452.59,0.80264,0.78747,1.12862,0.76726,0.69162,0.76958,0.58159,1.02186,0.93126,1.12001,0.000802,0.000802,0.000802
22,1519.85,0.80759,0.78107,1.12803,0.71618,0.69008,0.73509,0.5436,1.02274,0.97469,1.12823,0.0007921,0.0007921,0.0007921
23,1587.22,0.80756,0.77325,1.12653,0.76984,0.71982,0.7924,0.5967,1.01443,0.86931,1.11772,0.0007822,0.0007822,0.0007822
24,1652.81,0.78517,0.75423,1.11642,0.75127,0.71363,0.76898,0.58367,1.01192,0.91901,1.11444,0.0007723,0.0007723,0.0007723
25,1718.44,0.79117,0.75246,1.11759,0.72125,0.76468,0.79911,0.60612,0.98769,0.84092,1.10405,0.0007624,0.0007624,0.0007624
26,1783.2,0.78462,0.7356,1.1188,0.74087,0.66396,0.76308,0.58589,1.00278,0.88557,1.10765,0.0007525,0.0007525,0.0007525
27,1848.14,0.77284,0.72803,1.10661,0.68839,0.72132,0.7664,0.58242,0.99112,0.95,1.09647,0.0007426,0.0007426,0.0007426
28,1913.34,0.76609,0.72007,1.10531,0.72421,0.73148,0.77715,0.60261,0.97794,0.85731,1.09689,0.0007327,0.0007327,0.0007327
29,1978.4,0.77475,0.71482,1.11232,0.70705,0.74297,0.76481,0.58458,0.98787,0.86447,1.1053,0.0007228,0.0007228,0.0007228
30,2043.74,0.75141,0.69306,1.09555,0.7494,0.70786,0.78624,0.60844,0.99793,0.86093,1.11006,0.0007129,0.0007129,0.0007129
31,2108.51,0.75294,0.68324,1.09442,0.79524,0.73119,0.80872,0.62055,0.97941,0.82245,1.09652,0.000703,0.000703,0.000703
32,2173.48,0.75351,0.69285,1.09832,0.76521,0.71155,0.79622,0.61396,0.97683,0.86061,1.10106,0.0006931,0.0006931,0.0006931
33,237.1,2.1029,3.26395,2.01064,0.12596,0.15003,0.05741,0.02516,2.13143,3.42125,2.00737,0.006832,0.006832,0.006832
